,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,6763,511.7888886054567,171.50072274608047,58.72374285683237,0.9395502496501447,113.09167529203016,255,46,0.3424110517818471,0.07567483196886836,209
3,275,107.88225099390857,29.803667373504194,20.942667811347807,0.7114985045838977,90.76,138,66,0.7026876105175593,0.3922990945233039,72
4,404,121.57463914933368,53.37711911922128,15.320649070804906,0.957922634323618,89.0519801980198,125,64,0.28702652603984186,0.30092732462706356,61
