,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
1,16531,1610.069334708311,213.93627733184627,188.65640979689113,0.47155885387272867,78.83667049785252,190,32,0.881834591822207,0.09739697142993836,158
12,319,99.91778489984131,31.891376735328915,19.556970081577976,0.7898990208313509,65.11912225705329,94,46,0.6132369337292667,0.31322189623774704,48
13,242,98.15432893255071,38.524351513373915,14.520132491963526,0.9262507401678294,72.24380165289256,115,46,0.37690790166637306,0.4055964005477302,69
