,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,6151,471.1858582251266,122.28366613896998,72.0358214668326,0.8080690006969425,155.68850593399446,255,55,0.5890878458368027,0.07660313090962878,200
3,11083,675.6072144624361,164.42633083195258,94.50986722503318,0.818304132854541,141.23278895605884,255,50,0.5747854783770878,0.060958875256016974,205
9,901,198.65180361560905,67.67746508928728,28.99462198411285,0.9035780180856688,145.0066592674806,255,38,0.4284235815549544,0.2204792492959035,217
