,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,10862,969.36666581637,183.71666570625356,113.4387961583679,0.7865975648880719,85.57291474866507,139,61,0.617466007900156,0.08924384697259896,78
4,204,92.39087296526012,41.00812611143194,11.51963162196882,0.9597338374474357,83.3578431372549,95,74,0.2809109489828032,0.45289643610421626,21
5,264,111.36143571373725,53.72690489034875,7.346394166439053,0.990607544145802,83.39393939393939,92,76,0.1367358529480213,0.4218236201277926,16
