,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,23432,984.5189027078676,263.9267118616492,139.51810635864896,0.8488558281937522,62.74876237623762,108,42,0.528624425222198,0.04201599960344263,66
5,1314,241.94217151748083,65.50634233985532,35.230989076537156,0.8430561097682515,61.67503805175038,85,49,0.5378256183768322,0.18412646234207064,36
8,737,133.373629022557,42.207936385500744,24.155166819177115,0.8200515294798809,63.79240162822252,85,52,0.5722896897531075,0.18096828904010448,33
