,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,6242,786.7737367038067,211.92621228457634,112.29675318735804,0.8480688213033474,126.20009612303748,255,67,0.5298860956216449,0.12604513564623626,188
1,128,59.59797974644666,23.014010354848182,11.111467157263286,0.875723385895878,100.7421875,134,81,0.4828131640656241,0.46560921676911454,53
2,183,85.15432893255071,40.812012996354575,5.992276731618876,0.9891622913250555,108.06010928961749,130,90,0.1468262967610571,0.465324201817217,40
6,112,66.21320343559643,33.401143010319394,4.598149882168445,0.9904789245754737,106.3125,130,88,0.13766444701451777,0.5911893163892538,42
