,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
3,3055,442.9554108468271,91.35931541656838,63.616568121071225,0.717718196036058,139.7482815057283,255,69,0.6963336779725268,0.1449935878385686,186
6,70,33.31370849898476,14.54739003937105,6.387070340320659,0.8984613285395837,128.88571428571427,180,100,0.43905266326362974,0.47591012141406797,80
8,87,39.62741699796952,17.39192052874529,6.501574637118687,0.9274983300147837,113.816091954023,164,82,0.3738272967826017,0.4554875517007991,82
11,495,143.92388155425115,61.634846128289226,13.968345810682498,0.9739807720324716,124.93333333333334,208,79,0.22663065924766368,0.2907553162712144,129
13,269,146.8528137423857,80.03692327522322,10.859211728480417,0.990753051457801,126.46468401486989,195,81,0.13567752587313747,0.5459212406780137,114
15,69,29.31370849898476,10.460236115597112,8.603910432511459,0.5687144758430664,127.01449275362319,192,89,0.8225350113925524,0.42483635505775014,103
18,135,77.25483399593904,33.0328823654562,11.123693470680427,0.9415954976597762,117.5037037037037,154,80,0.3367460746420638,0.5722580295995484,74
19,107,54.798989873223334,23.940331504200646,9.941879220824646,0.9096948171125416,108.89719626168224,160,83,0.4152774250047545,0.5121400922731153,77
