,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,15743,1134.2955980045044,243.98492305817405,163.26142081053132,0.743131387313305,88.49050371593724,187,58,0.6691455306506968,0.07205079070091497,129
6,494,102.5685424949238,38.804673113564746,17.660495303269133,0.8904338998436025,79.67813765182186,98,68,0.45511259047549213,0.20762862853223443,30
7,479,140.2670273047588,51.24138631474852,19.023821203081457,0.9285293867924493,81.68058455114823,104,59,0.3712589094726725,0.29283304238989316,45
