,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
1,1294,304.7178207935912,76.35017956483445,50.65334769986159,0.7482343122887292,93.9258114374034,232,38,0.6634345588781252,0.23548517835671656,194
4,77,56.87005768508881,31.383491242258852,5.855694738247336,0.9824387849306804,93.46753246753246,149,45,0.18658519197387638,0.7385721777284261,104
5,76,55.45584412271572,31.05168331405374,7.355676906600659,0.9715377056428239,95.02631578947368,134,67,0.23688496472819365,0.7296821595094173,67
14,58,32.87005768508881,16.119890437239246,4.673580495267286,0.9570489692899253,86.62068965517241,95,72,0.2899263188830768,0.5667251325015312,23
15,1217,199.86500705120548,62.99562971384647,33.03337595832227,0.8514870226368825,108.1380443714051,255,48,0.5243756766679565,0.16422761466820499,207
19,117,63.59797974644667,21.60768648378465,13.404090783757377,0.7843338039390912,92.64102564102564,140,51,0.6203390073165117,0.5435724764653561,89
