,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,1289,187.6223663640862,47.316395921348125,39.8786328008491,0.5382144788235939,127.1722265321955,250,72,0.8428079109646796,0.14555652937477595,178
2,1724,158.02438661763952,50.160056432351304,43.977603167094074,0.4809546224385325,129.1264501160093,255,73,0.8767454882433149,0.09166147715640344,182
3,3454,334.13203435596427,123.58913394278257,49.94596161160674,0.9147019710086554,110.69310943833237,226,77,0.40412906877986515,0.0967377053723116,149
5,1278,139.0538238691624,41.17696394908533,40.34760479317813,0.19969227037116702,117.12050078247262,240,81,0.9798586618252699,0.10880580897430546,159
6,265,82.97056274847714,38.15481068561805,9.39431431099511,0.9692150522930015,122.73962264150943,186,87,0.24621572331732658,0.3130964632018005,99
7,753,185.06601717798213,59.00877464150091,27.190790529329046,0.8875079899227514,119.38911022576362,253,79,0.4607923261332349,0.2457716031580108,174
10,288,138.88834764831842,43.856337636689084,20.00494551565645,0.889904339804838,114.27777777777777,178,84,0.45614719772954376,0.4822512071122167,94
