,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,3673,351.26197667087547,91.88171183955745,63.031366590149496,0.7275962827390937,98.03947726653962,255,43,0.6860055753011435,0.09563353571219044,212
1,3003,219.86500705120545,71.08169546976691,55.31341359108744,0.6280576989603609,107.91375291375292,252,46,0.7781667731126901,0.07321512056317198,206
2,1906,232.93607486307096,81.68313240772052,36.030946396406705,0.8974548509830725,99.01731374606506,248,47,0.4411063255576268,0.12221200150213586,201
