,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,175,64.76955262170047,19.007619506313482,16.201814986799363,0.5229142782062339,114.08,246,71,0.8523852753585395,0.3701117292668598,175
12,6458,370.8599564173221,94.47767838153634,89.09906170226087,0.33259438358427873,144.93155775781975,255,41,0.9430699740783787,0.05742644106802758,214
15,106,45.834523779156065,17.76963907169344,9.270622872475245,0.8531220539278166,111.04716981132076,176,56,0.521711377201977,0.4324011677278874,120
20,436,167.82337649086284,58.20512653492748,26.395199364443805,0.8912634928655836,123.7362385321101,211,53,0.4534858170715373,0.3849160011258322,158
33,1383,431.13917703090067,77.2380569097713,64.87422850471306,0.5427014184725327,112.41865509761388,253,43,0.8399256933728727,0.311741993514751,210
34,162,71.49747468305833,27.22344496379005,12.589942923094254,0.8866365330999206,113.78395061728395,242,46,0.4624669265715694,0.4413424363151749,196
38,716,101.1543289325507,34.35305212663717,26.64266807248274,0.6312804773821394,152.51117318435755,255,58,0.7755546137288967,0.14127699571585292,197
42,288,94.5685424949238,30.2519271646408,16.097519172353234,0.8466717787195956,111.59375,200,39,0.5321154941549777,0.32836299477404096,161
