,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,323,92.17766952966369,41.5035953850404,10.561451494494822,0.9670804681547894,138.45510835913313,178,74,0.25447076082236486,0.28537978182558416,104
1,7615,347.06096654409873,117.18811297393961,83.27458075775415,0.7035901204436081,105.73893630991464,255,53,0.7106060388247127,0.045575964089835684,202
3,392,150.34419177103413,71.70389618042773,7.91264140184483,0.9938926094131433,100.32142857142857,169,76,0.1103516241562988,0.3835311014567197,93
6,159,48.04163056034262,16.2671186721807,13.201081483430016,0.5843255542374018,114.36477987421384,171,73,0.8115193446031667,0.30214861987636865,98
