,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,257,75.25483399593904,22.880769522764616,18.022439262657908,0.6161005265926291,97.8988326848249,172,66,0.787667532104939,0.29282036574295345,106
4,171,61.798989873223334,27.949895781605854,8.413975359454476,0.9536122053354023,97.08771929824562,129,73,0.3010378079832344,0.36139760159779727,56
6,8847,607.144227664784,173.1917880150639,81.8171033216796,0.881380243494811,96.67356165931955,233,31,0.4724075215076785,0.06862713096697005,202
7,233,100.12489168102785,48.33417945699375,7.161401023651837,0.9889627561763759,89.70386266094421,109,71,0.14816432396506965,0.429720565154626,38
10,469,137.2609306503489,61.640498169709545,11.469832764267728,0.9825353067880123,92.60767590618337,135,67,0.18607625027119043,0.2926672295316608,68
12,114,52.38477631085023,24.002252852483082,6.644947229829294,0.9609140656717448,97.12280701754386,127,75,0.27684681394987726,0.4595155816741248,52
