,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
1,5915,774.9036790187179,176.8065145619864,90.12585906626684,0.8603268058326039,140.04277261200338,255,90,0.5097428637714009,0.13100653914094976,165
3,1474,336.81222920256965,96.25836242687238,37.93883968454385,0.9190523337885522,129.42944369063773,218,89,0.3941355195333397,0.22850219077514902,129
4,121,39.79898987322333,15.560525135762994,9.971311597384682,0.76770104368945,136.87603305785123,215,99,0.640808167487064,0.3289172716795316,116
7,95,50.112698372208094,23.896683611156867,5.37057051194042,0.9744184784691029,137.82105263157894,179,105,0.22474124859036973,0.5275020881285063,74
9,293,137.88225099390854,52.38855359650146,24.263901984540453,0.8862784789386174,128.07508532423208,166,85,0.46315273697804116,0.4705878873512237,81
