,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
1,166,57.59797974644667,19.387708859183245,13.601615958706384,0.7126116618814702,115.99397590361446,168,60,0.7015587069878966,0.3469757816051004,108
5,1333,180.75230867899737,68.93784890676135,26.685950461901875,0.9220370731145613,169.73593398349587,255,60,0.38710158331158123,0.13559813104200852,195
7,7043,502.3635277547903,108.45251272073583,92.22505242846077,0.5261808891520388,123.37058071844385,255,44,0.8503726664769805,0.07132806016680254,211
14,134,76.39087296526012,36.55049772903744,4.8830918961043475,0.9910355387931766,131.32089552238807,199,89,0.13359850616274888,0.5700811415317919,110
