,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,288,110.5685424949238,52.07434402881061,9.423524681660636,0.9834899217825214,102.97916666666667,134,76,0.18096290711692853,0.38391855032959654,58
1,355,96.66904755831213,43.16406974976704,12.637239468315807,0.9561822219269025,106.30422535211268,156,77,0.29277219552227257,0.2723071762205975,79
3,5057,552.4650788387053,112.32029086241539,87.78912034156748,0.6237846353542135,99.06545382637928,185,76,0.7815962696277479,0.10924759320520175,109
4,135,54.834523779156065,22.894427482805806,9.264883009275469,0.9144590183178657,97.82962962962964,121,81,0.404678519095251,0.40618165762337827,40
7,1039,685.6568542494924,390.7231763974621,3.409511190953694,0.9999619263803783,136.67372473532242,255,68,0.008726155490416514,0.6599199752160658,187
