,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
1,702,207.6639969244288,72.66108641229752,22.24392464278723,0.951988893646595,120.34900284900284,249,78,0.30613256339947265,0.2958176594365083,171
3,349,94.59797974644665,40.26932013181728,12.150924475919313,0.953389781746793,106.70773638968481,193,74,0.30174148548186486,0.27105438322764086,119
6,1574,352.4041122946064,92.02688095583025,51.63107299929443,0.8277863962083599,130.82020330368488,254,68,0.5610433871389772,0.22389079561283762,186
7,1047,168.6812408671319,49.477044458817396,30.23146879591902,0.7916150793563188,124.01432664756447,254,84,0.6110201028899861,0.1611091125760572,170
9,3786,468.80108191427644,126.10734362283299,60.33685092246052,0.8781113739169348,131.16983623877442,255,64,0.4784562832670431,0.12382490277714644,191
