,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,14354,1150.0702012600882,317.9697878486387,167.72163187620055,0.8495695413952368,63.04284519994427,133,37,0.5274766291822671,0.08012193125679867,96
1,633,144.9177848998413,53.41913347811641,22.087506662019262,0.9105152129647704,57.95102685624013,78,39,0.41347556996722146,0.22893804881491517,39
2,315,91.01219330881975,31.637969267878503,16.180355041435483,0.8593296740445598,58.384126984126986,71,47,0.5114220481231431,0.288927597805777,24
