,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,1193,213.8528137423857,67.0207705594684,29.67690467769391,0.8966196182643386,92.41575859178542,146,75,0.4428016035918478,0.1792563401025865,71
1,1511,236.3563850798539,57.09874827114657,42.74293767936709,0.6630453370522708,101.28457974851092,183,73,0.7485792416392807,0.15642381540691855,110
3,944,137.4386001800126,41.88821876749881,31.169669100517773,0.6680510878330729,95.39830508474576,170,75,0.7441154104337901,0.1455917374788269,95
4,7565,500.9259735953043,120.35038867298267,91.35370957395087,0.6510154068652849,95.90191672174488,189,71,0.7590645163779082,0.06621625559752865,118
5,1335,168.46803743153546,57.966686635095634,32.521330439339955,0.8277921928510784,101.44044943820225,179,72,0.561034834439719,0.12619328646556963,107
6,1287,142.2670273047588,45.4212130206974,36.983771724105324,0.5805282994369153,100.48484848484848,191,71,0.814240071203133,0.11054159075738836,120
7,1779,156.61017305526642,49.74198993179091,45.7454487589754,0.3927282230586315,107.5778527262507,181,74,0.9196545779874147,0.08803269986243194,107
8,845,110.32590180780451,34.86794654412051,31.24997193387076,0.4435738877471978,107.79763313609467,223,70,0.8962378066723343,0.1305631974056858,153
