,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,176,67.21320343559643,31.829362272255054,7.308340575646833,0.9732827121337678,53.38068181818182,76,41,0.22961002212781845,0.38189320133861604,35
1,11917,1122.6976182580577,233.50148823181868,137.08796017246658,0.8095167877917523,56.26298565075103,126,27,0.5870967299204817,0.0942097523083039,99
2,261,80.8111831820431,28.171904557000314,13.958506755182547,0.8686215439657844,47.053639846743295,60,35,0.4954761481226891,0.30962139150208084,25
4,779,141.50966799187808,47.83133471901435,24.762266271311617,0.8555624174375457,48.806161745827985,78,38,0.5176996714973102,0.181655542993425,40
7,195,73.84062043356593,21.763616919442033,15.23412534089135,0.7141611505620741,45.43076923076923,58,36,0.6999813219135598,0.3786698483772612,22
