,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,5363,417.87214972614186,97.66234621550136,84.31314390460797,0.5046693770805908,132.79246690285288,255,44,0.8633127010748125,0.07791761136045905,211
3,214,105.49137802864844,51.54450504796368,5.742674140748062,0.993774308385496,117.54672897196262,153,85,0.11141195623867829,0.49295036461985253,68
7,6332,495.44069222106566,117.62873003882022,81.10169495551571,0.7243125051194902,119.40018951358181,255,45,0.689471823157066,0.07824395012966924,210
