,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
2,2608,300.94217151748086,86.32454958349058,48.95405119944875,0.823653740747193,122.09700920245399,255,52,0.5670930394151877,0.11539193693154941,203
4,13839,1179.0123727775692,232.59697469511184,111.57812342502602,0.8774293831084694,137.62901943782066,255,37,0.47970582408168744,0.08519491096015386,218
9,319,173.30256121069152,83.88554520888968,26.38225306199419,0.9492564891577702,113.62068965517241,182,55,0.31450296944840456,0.5432682169614155,127
