,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
2,1791,473.4751801064719,132.23118641754564,92.71953763696786,0.7129718440463141,114.43662758235622,201,73,0.7011926622528207,0.264363584649063,128
3,686,198.00714267493643,64.76762773732001,26.044289322131355,0.9155874421248257,104.85131195335276,173,81,0.40211893243581426,0.288640149671919,92
4,382,87.698484809835,38.800070018784254,13.318990105596368,0.9392359199715479,120.53403141361257,220,87,0.3432723213939628,0.2295771853660602,133
5,1682,272.8772003600252,61.55061175095225,53.882371729781475,0.483370826820947,116.20451843043995,249,75,0.8754156976993468,0.16223376953628132,174
10,226,82.01219330881976,31.737690901236803,10.251992228330572,0.9463912424034354,109.070796460177,149,82,0.32302262506221135,0.3628858111009724,67
11,2200,216.30865786510142,76.06635271758205,39.106265069876876,0.8577258962530631,108.17545454545454,255,67,0.5141072717798104,0.09832211721140974,188
12,519,181.82947314527271,56.62382217310193,23.56833904272865,0.9092609339261524,109.83429672447014,162,79,0.41622656574964206,0.35034580567489926,83
17,154,52.72792206135785,22.719901705558154,9.03927981429495,0.9174472908682262,109.96103896103897,156,89,0.39785734689528157,0.3423891042945315,67
