,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,5450,577.6660889654819,156.58780499269326,63.41496377412866,0.9143254459459386,58.702568807339446,102,41,0.4049802203759593,0.10599377779183154,61
1,14367,1154.290547370621,256.96825280398735,101.47095604020893,0.9187338229661415,64.25419363819864,130,41,0.3948774019085147,0.08034318558993672,89
10,3776,333.7584053334072,82.45837472311968,66.226482036499,0.5957762414687123,68.3551377118644,124,40,0.8031504654181647,0.08838940819210996,84
