,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
1,499,161.58073580374355,55.29713394305345,28.816869589269896,0.8534787019260913,108.65731462925852,186,64,0.521127724611303,0.32380908978706124,122
2,273,140.8528137423857,71.52742398596186,8.64033271463087,0.9926771722628247,111.15384615384616,171,50,0.1207974820444623,0.5159443726827315,121
3,9932,843.2173875177026,175.92173749852302,103.92118093739064,0.8068737405697471,118.53131292790978,255,44,0.590723934489694,0.08489905230746099,211
5,373,72.42640687119285,25.11375397359703,19.409527569717675,0.6345711520431213,124.94101876675603,234,52,0.772864446714083,0.19417267257692453,182
6,1406,225.4802307403552,81.70368347617115,32.586627622777975,0.9170209010068843,140.5085348506401,255,56,0.3988391494280898,0.16037000763894396,199
