,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,136,55.071067811865476,25.767930161423383,7.094025224167739,0.9613570996174492,143.31617647058823,193,57,0.2753044260725315,0.40493432214606967,136
4,6910,1210.9179643685907,205.22538390952244,131.51886918553677,0.7676653837639442,119.12836468885673,255,38,0.6408508863772885,0.1752413841343836,217
8,99,42.2842712474619,16.056325379802814,8.738672550950241,0.838922376407493,101.21212121212122,145,57,0.5442510876082881,0.42711385098446364,88
10,194,69.69848480983501,33.01888032545895,8.044217509905783,0.9698695612100291,115.5979381443299,169,79,0.24362478165873333,0.3592705402568815,90
