,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,2611,420.5290039756343,111.25931770710184,51.33358624090188,0.8871990609370077,94.86748372271161,178,39,0.4613868509965272,0.16106051473597635,139
4,9201,1067.0235200658624,180.9908381656919,147.19690083980558,0.5818673410250097,96.24279969568525,230,33,0.8132837127647923,0.11596821215801134,197
7,1759,259.5401512639275,78.96851587134529,33.99246596856561,0.9026115953264277,84.23194997157476,168,48,0.4304559303602184,0.14754983016709922,120
11,232,64.52691193458118,23.259909228694532,14.003061057740299,0.7984767774248125,99.75,160,61,0.6020256106788867,0.2781332410973327,99
13,3001,286.8355697996826,99.66568175714661,45.09175781790141,0.8917998504461397,93.62112629123625,203,53,0.452430134655333,0.0955799966010272,150
