,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,448,136.33199846221441,48.232073955437556,23.529464767346795,0.8729338773833191,116.85491071428571,169,86,0.48783854472204685,0.3043124965674429,83
2,193,70.00609665440989,30.219814644828404,11.388459176203003,0.9262726564305345,151.04145077720207,255,60,0.3768540379896718,0.3627258894010875,195
6,17280,1139.2489168102786,255.16120729374506,133.01487839644435,0.8533750655817925,139.52685185185186,255,40,0.5212974174530998,0.06592875675985409,215
12,430,161.33809511662426,56.77966611641961,27.832541569606352,0.8716184082743259,123.31627906976745,208,55,0.4901850164553487,0.37520487236424244,153
13,206,82.46803743153546,29.144295374812454,13.889000163745306,0.8791420464115497,117.98543689320388,191,60,0.47655982020236726,0.40033027879386146,131
15,1458,538.144227664784,234.70441192624327,33.01988056244348,0.9900541110975148,128.68244170096023,255,65,0.14068708931138502,0.36909754983867216,190
