,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,587,111.39696961966999,40.66963843815938,21.44457838697487,0.849687145225627,139.6405451448041,230,77,0.5272871658198446,0.18977337243555364,153
3,364,131.4386001800126,49.209153373973095,16.315875866959537,0.94343349920386,121.4423076923077,190,83,0.3315618080840437,0.3610950554395951,107
4,4361,583.1513703397205,111.0421200229869,86.2774144242417,0.6295263036241817,135.0073377665673,255,75,0.7769791715646401,0.13371964465483158,180
7,477,169.8111831820431,47.95690168103947,36.40432890965327,0.6509680781851229,124.73165618448637,241,79,0.7591051054919653,0.35599828759338176,162
9,4928,435.0609665440988,111.29479308226504,71.60117759759201,0.7655746626874088,131.91294642857142,255,64,0.6433470570781065,0.08828347535391615,191
10,4311,422.7422074112307,113.40111378753467,56.265187831540295,0.8682306469032941,117.81489213639527,246,74,0.4961608043546844,0.09806128680381135,172
12,1533,268.6700935788387,72.36978666116067,45.10360568008488,0.7820321709846372,127.59947814742335,231,68,0.6232380632992943,0.17525772575266713,163
