,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,1307,277.2203461105329,58.96548147897713,46.60392572398103,0.6126433987879214,117.85386381025249,255,75,0.7903594536168869,0.2121043199009433,180
1,700,126.50966799187808,42.02931211602368,23.032058061842168,0.8364784096464617,113.88142857142857,236,81,0.547999881565066,0.1807280971312544,155
5,94,54.2193000900063,19.092457777855184,10.951207182461381,0.8191438551360919,109.77659574468085,144,89,0.5735881314957462,0.5768010647873011,55
7,1734,164.3380951166243,50.290471571590224,44.618539162790455,0.4613532015384126,109.82698961937716,234,76,0.8872165594883004,0.09477398795653073,158
