,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,1074,183.1309883354377,51.687720865493276,33.59913165989455,0.759899237880054,122.33705772811918,200,42,0.6500408819984426,0.17051302452089173,158
2,274,118.63961030678928,52.66073566169053,12.234146793938654,0.9726393865471583,116.64963503649635,194,74,0.23232008896599432,0.4329912784919317,120
3,8856,707.6782822743016,148.43255202223142,89.00039637895392,0.8002986415506299,117.75,255,58,0.5996016046778198,0.07990947180152458,197
5,184,79.90559159102153,35.77558856663833,12.16952498353913,0.9403665551209196,113.44021739130434,161,69,0.34016281691274614,0.4342695195164214,92
6,133,58.284271247461895,26.240438747769325,7.4983899469447035,0.9583021013907367,117.54887218045113,154,89,0.28575703398183977,0.43822760336437516,65
