,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
3,14096,1474.3992411294726,238.56384826465813,136.11558888971564,0.82125417394323,143.21814699205447,255,43,0.5705625134731714,0.10459699497229516,212
4,142,68.87005768508881,29.478862438697686,9.672418797207827,0.9446382355554703,112.28169014084507,166,79,0.3281137057890872,0.48500040623301977,87
22,186,98.84671708797582,47.62054664187249,10.143657204780048,0.9770499982418986,140.2311827956989,255,60,0.21301009585347316,0.5314339628385797,195
25,1669,206.06601717798216,78.93983846791215,29.075934692945026,0.9296949968815983,156.96285200718992,255,61,0.36833030390306604,0.12346675684720321,194
28,243,86.46803743153546,27.042328583111786,15.78017671340713,0.8120871530600782,114.49382716049382,247,68,0.5835361649758969,0.35583554498574266,179
