,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,16473,704.2985565973347,172.60501641093117,133.78879618823544,0.6318197589787803,79.6350998603776,193,53,0.7751153412002603,0.04275472328035784,140
1,2656,585.4234482783626,190.58725180120854,44.17413184749749,0.9727684579345495,89.07567771084338,154,51,0.2317790483362087,0.2204154549240823,103
7,288,130.98885271170678,61.6162900558666,14.672949739991061,0.9712322448382413,83.07986111111111,101,68,0.23813426168124224,0.4548224052489819,33
