,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,3215,732.5067093990478,332.091522693817,111.48011836365629,0.9419721794453443,82.06531881804044,132,48,0.33569094886664463,0.22784034506968828,84
2,116,59.45584412271571,27.378485734692724,6.51422794536821,0.9712817244335737,69.18103448275862,87,56,0.23793236808249363,0.5125503803682389,31
3,85,48.31980515339464,23.684163253483614,4.729052800942384,0.9798628911123822,65.58823529411765,73,56,0.19967151679917614,0.5684682959222899,17
4,149,61.32590180780452,22.618280777847485,12.966959378573952,0.8193486617958775,65.83892617449665,82,49,0.5732955349671798,0.41158323360942634,33
5,479,145.59797974644664,75.47268874589433,13.386355298101089,0.9841448013478129,66.62004175365344,94,34,0.17736687960291198,0.3039623794289074,60
